id,id_raw,name,city,county,postcode,status,type
2230166,223-0166,St Aidan's High School,ENNISKILLEN,FERMANAGH,BT92 9LD,Roman Catholic Maintained,Secondary
2230188,223-0188,St Cecilia's  College,LONDONDERRY,LONDONDERRY,BT48 9PJ,Roman Catholic Maintained,Secondary
2230225,223-0225,St Brigid's College,LONDONDERRY,LONDONDERRY,BT48 8DU,Roman Catholic Maintained,Secondary
2230298,223-0298,Sacred Heart College,OMAGH,TYRONE,BT78 1LG,Roman Catholic Maintained,Secondary
2230301,223-0301,Holy Cross College,STRABANE,TYRONE,BT82 9EF,Roman Catholic Maintained,Secondary
2230322,223-0322,St Kevin's College,BELLEEK,FERMANAGH,BT92 OLA,Roman Catholic Maintained,Secondary
2240319,224-0319,Gaelcholáiste Dhoire ,LONDONDERRY,LONDONDERRY,BT47 4LF,Other Maintained,Secondary
2260276,226-0276,Oakgrove Integrated College,LONDONDERRY,LONDONDERRY,BT47 6TG,Grant Maintained Integrated,Secondary
2260280,226-0280,Erne Integrated College,ENNISKILLEN,FERMANAGH,BT74 4FY,Grant Maintained Integrated,Secondary
2260283,226-0283,Drumragh Integrated College,OMAGH,TYRONE,BT79 0GW,Grant Maintained Integrated,Secondary
3210035,321-0035,Magherafelt High School,MAGHERAFELT,LONDONDERRY,BT45 6AF,Controlled,Secondary
3210038,321-0038,Larne High School,LARNE,ANTRIM,BT40 1NT,Controlled,Secondary
3210124,321-0124,Ballycastle High School,BALLYCASTLE,ANTRIM,BT54 6LD,Controlled,Secondary
3210133,321-0133,Ballymoney High School,BALLYMONEY,ANTRIM,BT53 7AN,Controlled,Secondary
3210134,321-0134,Ballyclare Secondary School,BALLYCLARE,ANTRIM,BT39 9BG,Controlled,Secondary
3210172,321-0172,Cullybackey College,BALLYMENA,ANTRIM,BT42 1BP,Controlled,Secondary
3210202,321-0202,Glengormley High School,NEWTOWNABBEY,ANTRIM,BT36 5HP,Controlled,Secondary
3210208,321-0208,Dunclug College,BALLYMENA,ANTRIM,BT43 6SU,Controlled,Secondary
3210222,321-0222,Dunluce School,BUSHMILLS,ANTRIM,BT57 8QQ,Controlled,Secondary
