year,School,Label,AOL,Pupils,Provider,subject,course_name,course_code,school_id
11,St Mark's High,A,LLW,43,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230135
11,Lisnagarvey High School,A,LLW,105,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210051
11,St Joseph's High (Crossmaglen),A,LLW,21,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230167
11,St Columba's College,A,LLW,20,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230067
11,St Patrick's High (Keady),A,LLW,48,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230187
11,St Mary's Limavady,A,LLW,69,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230077
11,St Ciaran's College,A,LLW,21,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230152
11,Belfast Boys' Model School,A,LLW,61,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1210022
11,St Patrick's Grammar (Armagh),A,LLW,23,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5420268
11,Dunluce School,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210222
11,Malone College,A,LLW,59,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1260294
11,St Louis' Grammar School,A,LLW,15,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5420045
11,St Joseph's College,A,LLW,23,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230275
11,Belfast Model School for Girls,A,LLW,61,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1210021
11,Magherafelt High School,A,LLW,11,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210035
11,St Kevin's College,A,LLW,11,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230322
11,St Conor's College,A,LLW,9,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3230318
11,Breda Academy,A,LLW,14,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210316
11,Dominican College,A,LLW,15,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3420068
11,City of Armagh High School,A,LLW,17,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210121
11,St Patrick's College,A,LLW,27,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3230234
11,St Paul's High (Bessbrook),A,LLW,46,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230157
11,Strabane Academy,A,LLW,31,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2410311
11,St Benedict's College,A,LLW,20,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3230308
11,Coleraine College,A,LLW,20,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210300
11,St Mary's Christian Brothers' Grammar School,A,LLW,12,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1420021
11,Aughnacloy College,A,LLW,21,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210153
11,St John the Baptist College,A,LLW,30,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230321
11,Mercy College,A,LLW,13,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230104
11,St Fanchea's College,A,LLW,3,Collaboration with other school,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230099
11,Nendrum College,A,LLW,17,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210045
11,St Patrick's & St Brigid's College,A,LLW,17,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230122
11,St Colm's High School (Twinbrook),A,ST,38,Own School,ICT,OCR Level 2 ITQ Certificate in IT User Skills (QCF),500/6743/6,4230223
11,Blackwater Integrated College,A,ST,12,Own School,ICT,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,600/6071/2,4260309
11,Hazelwood Integrated College,A,ST,52,Own School,ICT,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,600/6071/2,1260269
11,St Colmcille's High School,A,ST,20,Own School,ICT,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,600/6071/2,4230102
11,Cookstown High,A,ST,39,Own School,ICT,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,600/6071/2,5210230
11,Carrickfergus Academy,A,ST,35,Own School,ICT,Pearson BTEC Level 1 Level 2 First Certificate in Information and Creative Technology,600/6071/2,3210323
11,Glengormley High School,A,ST,74,Own School,ICT,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),500/7832/X,3210202
11,Dromore High,A,ST,24,Own School,ICT,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),500/7832/X,5210064
11,St Columbanus' College,A,ST,54,Own School,ICT,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),500/7832/X,4230107
11,Bangor Academy & Sixth Form College,A,ST,41,Own School,ICT,Pearson BTEC Level 2 Certificate for IT Users (ITQ) (QCF),500/7832/X,4210296
11,Nendrum College,A,ST,18,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4210045
11,Priory Integrated College,A,ST,19,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4250024
11,Rathfriland High,A,ST,19,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210127
11,Devenish College,A,ST,27,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2210312
11,New-Bridge Integrated College,A,ST,45,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5260285
11,Parkhall College,A,ST,15,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,3250207
11,Lisneal College,A,ST,66,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2210306
11,Glastry College,A,ST,48,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4210046
11,Holy Trinity College,A,ST,65,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5230278
11,St Brigid's College (Derry),A,ST,21,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2230225
11,St Kevin's College,A,ST,11,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2230322
11,St Joseph's College (Coalisland),A,ST,17,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5230192
11,Lismore Comprehensive,A,ST,95,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5230213
11,Banbridge High,A,ST,69,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210047
